"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8504","Лента заказов/ Отображение номера созданного заказа в разделе 'В работе' ","tests","Mon Mar 30 16:23:03 MSK 2026","passed","Mon Mar 30 16:23:12 MSK 2026","TestOrderTapePage","test_order_tape","",""
"","9334","Лента заказов/ Увеличение значения счетчика 'Выполнено за всё время' при создании нового заказа ","tests","Mon Mar 30 16:21:53 MSK 2026","passed","Mon Mar 30 16:22:02 MSK 2026","TestOrderTapePage","test_order_tape","",""
"Тест проверяет переход по разделам внутри хэдера']","1223","Работа с хэдером: переход по разделам","tests","Mon Mar 30 16:19:35 MSK 2026","passed","Mon Mar 30 16:19:36 MSK 2026","TestHeaderButtons","test_header_buttons","",""
"Тест проверяет модальное окно с информацией об ингредиента, каунтер ингредиента и оформление заказа']","6555","Оформление заказа авторизованным пользователем (полный сценарий)","tests","Mon Mar 30 16:20:07 MSK 2026","passed","Mon Mar 30 16:20:14 MSK 2026","TestOrderByAuthUser","test_order_by_auth_user","",""
"Тест проверяет переход по разделам внутри личного кабинета","3653","Работа с личным кабинетом: переход в профиль, история заказов, выход","tests","Mon Mar 30 16:24:10 MSK 2026","passed","Mon Mar 30 16:24:14 MSK 2026","TestPersonalAccountFlow","test_personal_account_flow","",""
"","8391","Лента заказов/ Увеличение значения счетчика 'Выполнено за всё время' при создании нового заказа ","tests","Mon Mar 30 16:21:29 MSK 2026","passed","Mon Mar 30 16:21:37 MSK 2026","TestOrderTapePage","test_order_tape","",""
"Тест проверяет, что если кликнуть на заказ, откроется всплывающее окно с деталями']","1573","Лента заказов/ Открытие модального окна с информацией о заказе","tests","Mon Mar 30 16:20:37 MSK 2026","passed","Mon Mar 30 16:20:38 MSK 2026","TestOrderTapePage","test_order_tape","",""
"Тест проверяет модальное окно с информацией об ингредиента, каунтер ингредиента и оформление заказа']","7632","Оформление заказа авторизованным пользователем (полный сценарий)","tests","Mon Mar 30 16:19:46 MSK 2026","passed","Mon Mar 30 16:19:54 MSK 2026","TestOrderByAuthUser","test_order_by_auth_user","",""
"Тест проверяет, что после ввода email и нажатия кнопки восстановления появляется поле для ввода нового пароля, клик по кнопке показать/скрыть пароль делает поле активным","2582","Переход на страницу восстановления пароля по кнопке Восстановить пароль","tests","Mon Mar 30 16:24:34 MSK 2026","passed","Mon Mar 30 16:24:37 MSK 2026","TestRestorePassword","test_restore_password","",""
"Тест проверяет, что после ввода email и нажатия кнопки восстановления появляется поле для ввода нового пароля, клик по кнопке показать/скрыть пароль делает поле активным","2035","Переход на страницу восстановления пароля по кнопке Восстановить пароль","tests","Mon Mar 30 16:24:21 MSK 2026","passed","Mon Mar 30 16:24:23 MSK 2026","TestRestorePassword","test_restore_password","",""
"Тест проверяет, что последний созданный заказ пользователем появляется и в 'Ленте заказов', и в 'Истории заказов']","3548","Проверка отображения заказа пользователя из 'Истории заказов' в 'Ленте заказов'","tests","Mon Mar 30 16:21:17 MSK 2026","passed","Mon Mar 30 16:21:20 MSK 2026","TestOrderTapePage","test_order_tape","",""
"Тест проверяет, что последний созданный заказ пользователем появляется и в 'Ленте заказов', и в 'Истории заказов']","3976","Проверка отображения заказа пользователя из 'Истории заказов' в 'Ленте заказов'","tests","Mon Mar 30 16:20:53 MSK 2026","passed","Mon Mar 30 16:20:57 MSK 2026","TestOrderTapePage","test_order_tape","",""
"Тест проверяет, что если кликнуть на заказ, откроется всплывающее окно с деталями']","1023","Лента заказов/ Открытие модального окна с информацией о заказе","tests","Mon Mar 30 16:20:23 MSK 2026","passed","Mon Mar 30 16:20:24 MSK 2026","TestOrderTapePage","test_order_tape","",""
"","13160","Лента заказов/ Отображение номера созданного заказа в разделе 'В работе' ","tests","Mon Mar 30 16:23:27 MSK 2026","passed","Mon Mar 30 16:23:40 MSK 2026","TestOrderTapePage","test_order_tape","",""
"Тест проверяет переход по разделам внутри хэдера']","694","Работа с хэдером: переход по разделам","tests","Mon Mar 30 16:19:20 MSK 2026","passed","Mon Mar 30 16:19:21 MSK 2026","TestHeaderButtons","test_header_buttons","",""
"Тест проверяет переход по разделам внутри личного кабинета","2918","Работа с личным кабинетом: переход в профиль, история заказов, выход","tests","Mon Mar 30 16:23:50 MSK 2026","passed","Mon Mar 30 16:23:53 MSK 2026","TestPersonalAccountFlow","test_personal_account_flow","",""
"","9510","Лента заказов/ Увеличение значения счетчика 'Выполнено за сегодня' при создании нового заказа ","tests","Mon Mar 30 16:22:43 MSK 2026","passed","Mon Mar 30 16:22:53 MSK 2026","TestOrderTapePage","test_order_tape","",""
"","10032","Лента заказов/ Увеличение значения счетчика 'Выполнено за сегодня' при создании нового заказа ","tests","Mon Mar 30 16:22:20 MSK 2026","passed","Mon Mar 30 16:22:30 MSK 2026","TestOrderTapePage","test_order_tape","",""
